season,tournament_id,draw_code,set,game,point,serve,rally,shot_no,hitter_external_id,stroke,spin_type,spin_rpm,speed_ms,call,shot_start_timestamp,shot_end_timestamp,ball_hit_x,ball_hit_y,ball_hit_z,ball_bounce_x,ball_bounce_y,hitter_x,hitter_y,receiver_x,receiver_y
2025,9999,MS001,1,1,1,1,1,1,CD34,serve,backspin,-3655.989,59.573,out,2025-01-01T11:10:49.761Z,2025-01-01T11:10:50.449000Z,-11.337,-0.622,2.956,6.411,0.845,-11.66,-0.52,15.66,3.62
2025,9999,MS001,1,1,1,1,1,2,AB12,backhand,nospin,0.0,28.422,out,2025-01-01T11:10:50.449Z,2025-01-01T11:10:52.174000Z,15.239,1.186,1.285,0.139,0.319,15.69,2.53,-10.85,-0.32
2025,9999,MS001,1,1,2,1,1,1,CD34,serve,backspin,-5472.595,56.897,in,2025-01-01T11:11:12.065Z,2025-01-01T11:11:12.766000Z,-11.182,1.088,2.963,5.544,-1.954,-11.63,1.18,15.44,-4.04
2025,9999,MS001,1,1,2,1,1,2,AB12,backhand,backspin,-2101.413,21.59,,2025-01-01T11:11:12.766Z,2025-01-01T11:11:13.969000Z,14.118,-3.923,1.267,6.876,-3.351,14.64,-3.56,-10.44,0.62
2025,9999,MS001,1,1,2,1,1,3,CD34,forehand,backspin,-1450.474,23.368,in,2025-01-01T11:11:13.969Z,2025-01-01T11:11:15.643000Z,-5.242,0.912,1.146,6.876,-3.351,-5.82,0.09,14.36,-1.89
2025,9999,MS001,1,1,3,1,1,1,CD34,serve,backspin,-3864.819,52.925,in,2025-01-01T11:11:33.896Z,2025-01-01T11:11:34.725000Z,-11.142,-1.181,2.99,5.128,3.983,-11.48,-0.9,15.9,3.89
2025,9999,MS001,1,1,4,1,1,1,CD34,serve,unknown,0.0,51.332,out,2025-01-01T11:11:59.000Z,2025-01-01T11:11:59.982000Z,-11.316,1.662,2.998,5.626,-4.37,-11.51,1.5,14.67,-4.43
2025,9999,MS001,1,1,4,2,2,1,CD34,serve,topspin,978.805,49.137,in,2025-01-01T11:12:11.484Z,2025-01-01T11:12:12.326000Z,-11.513,0.868,3.036,5.538,-3.216,-11.55,1.18,14.04,-3.78
2025,9999,MS001,1,1,4,2,2,2,AB12,backhand,topspin,1046.752,26.877,in,2025-01-01T11:12:12.326Z,2025-01-01T11:12:13.629000Z,12.647,-5.048,1.483,-8.182,-0.651,12.98,-4.59,-11.41,0.58
2025,9999,MS001,1,1,4,2,2,3,CD34,forehand,topspin,3974.201,31.696,out,2025-01-01T11:12:13.628Z,2025-01-01T11:12:15.437000Z,-12.283,0.11,0.967,14.68,6.441,-12.58,-0.74,12.67,-3.15
2025,9999,MS001,1,1,5,1,1,1,CD34,serve,unknown,0.0,60.06,in,2025-01-01T11:12:32.220Z,2025-01-01T11:12:32.901000Z,-11.184,-0.667,3.015,4.972,1.185,-11.39,-0.67,14.69,3.89
2025,9999,MS001,1,1,5,1,1,2,AB12,backhand,topspin,907.594,22.244,,2025-01-01T11:12:32.901Z,2025-01-01T11:12:34.092000Z,14.398,2.073,1.408,6.407,-2.794,14.67,2.75,-10.74,-0.55
2025,9999,MS001,1,1,5,1,1,3,CD34,backhand,backspin,-1776.337,20.279,in,2025-01-01T11:12:34.092Z,2025-01-01T11:12:35.364000Z,-6.026,-1.803,1.238,6.407,-2.794,-6.3,-1.09,17.02,-2.88
2025,9999,MS001,1,1,5,1,1,4,AB12,backhand,topspin,1677.422,28.358,out,2025-01-01T11:12:35.364Z,2025-01-01T11:12:36.984000Z,11.255,-3.407,0.201,-12.11,5.522,12.37,-2.77,-3.6,-1.03
2025,9999,MS001,1,2,1,1,1,1,AB12,serve,unknown,0.0,54.772,in,2025-01-01T11:13:37.762Z,2025-01-01T11:13:38.457000Z,-11.601,-1.067,2.841,5.076,1.465,13.33,4.23,-11.71,-1.24
2025,9999,MS001,1,2,1,1,1,2,CD34,forehand,backspin,-1427.459,23.535,in,2025-01-01T11:13:38.457Z,2025-01-01T11:13:39.815000Z,12.939,2.932,1.077,-6.484,0.283,-11.5,-0.8,12.84,3.51
